survey_id,survey_psu,survey_weight,survey_strata,sba,wealth,education,area
     908   3  3,908,0.342191,10,1,3,2,2
     908   5  2,908,0.342191,10,1,4,2,2
     908   8  1,908,0.342191,10,1,2,1,2
     908   9  4,908,0.342191,10,0,1,1,2
     908  26  2,908,0.342191,10,1,2,2,2
     908  57  2,908,0.342191,10,0,3,3,2
     908  59  2,908,0.342191,10,1,1,1,2
     908  60  2,908,0.342191,10,0,1,2,2
     908  83  2,908,0.342191,10,0,2,2,2
     909  54  1,909,0.342191,10,1,3,2,2
     909 239  5,909,0.342191,10,0,3,1,2
     909 325  4,909,0.342191,10,0,4,1,2
    1001  22  2,1001,1.025362,8,0,1,1,2
    1001  25  2,1001,1.025362,8,1,1,1,2
    1001  31  2,1001,1.025362,8,0,1,0,2
    1001  31  4,1001,1.025362,8,0,1,1,2
    1001  73  4,1001,1.025362,8,0,2,2,2
    1001  79  3,1001,1.025362,8,0,1,0,2
    1001 134  3,1001,1.025362,8,0,1,1,2
    1001 188  1,1001,1.025362,8,0,3,2,2
    1002   3  1,1002,1.025362,8,0,1,2,2
    1002  64  3,1002,1.025362,8,1,3,2,2
    1002  65  2,1002,1.025362,8,0,1,0,2
    1002  70  4,1002,1.025362,8,0,1,2,2
    1002  86  4,1002,1.025362,8,0,1,1,2
    1002  87  2,1002,1.025362,8,0,1,0,2
    1002  93  3,1002,1.025362,8,0,1,2,2
    1101  13  4,1101,0.342191,10,0,2,0,2
    1101  17  3,1101,0.342191,10,0,2,1,2
    1101  19  3,1101,0.342191,10,0,1,0,2
    1101  58  4,1101,0.342191,10,0,2,2,2
    1101  60  6,1101,0.342191,10,0,2,0,2
    1101  63  2,1101,0.342191,10,0,2,2,2
    1101  94  2,1101,0.342191,10,0,2,0,2
    1101 126  2,1101,0.342191,10,1,4,0,2
    1101 129  2,1101,0.342191,10,0,1,1,2
    1102  43  1,1102,0.342191,10,0,1,1,2
    1102  45  2,1102,0.342191,10,0,2,0,2
    1102  49  2,1102,0.342191,10,0,1,0,2
    1102  72  2,1102,0.342191,10,0,2,0,2
    1102  80  2,1102,0.342191,10,0,1,0,2
    1102  93  1,1102,0.342191,10,0,1,0,2
    1102  99  2,1102,0.342191,10,0,1,0,2
    1103  17  2,1103,0.342191,10,0,3,1,2
    1103  36  2,1103,0.342191,10,0,1,0,2
    1103  41  2,1103,0.342191,10,0,1,1,2
    1103  46  2,1103,0.342191,10,0,1,1,2
    1103  47  2,1103,0.342191,10,0,1,0,2
    1103  49  2,1103,0.342191,10,0,1,1,2
    1103  52  1,1103,0.342191,10,0,2,2,2
    1103  56  2,1103,0.342191,10,0,1,0,2
    1201   2  1,1201,1.025362,8,0,3,2,2
    1201   5  2,1201,1.025362,8,0,3,2,2
    1201   6  1,1201,1.025362,8,0,1,0,2
    1201   9  2,1201,1.025362,8,0,1,0,2
    1201  23  2,1201,1.025362,8,0,1,0,2
    1201  26  3,1201,1.025362,8,0,1,0,2
    1201  29  1,1201,1.025362,8,0,1,0,2
    1201  56  2,1201,1.025362,8,0,1,0,2
    1201  64  2,1201,1.025362,8,0,2,1,2
    1201  84  3,1201,1.025362,8,0,2,0,2
    1301  45  2,1301,1.025362,8,1,5,2,2
    1301  49  2,1301,1.025362,8,1,5,1,2
    1301  50  2,1301,1.025362,8,1,4,0,2
    1301 134  1,1301,1.025362,8,1,4,2,2
    1301 135  4,1301,1.025362,8,1,5,3,2
    1301 222  7,1301,1.025362,8,1,4,2,2
    1301 300  1,1301,1.025362,8,0,4,0,2
    1301 301  2,1301,1.025362,8,1,3,2,2
    1301 305  1,1301,1.025362,8,1,3,2,2
    1302  35  1,1302,1.025362,8,0,1,0,2
    1302  37  3,1302,1.025362,8,0,1,0,2
    1302  67  1,1302,1.025362,8,0,2,0,2
    1302  68  2,1302,1.025362,8,0,1,0,2
    1302  70  1,1302,1.025362,8,0,2,0,2
    1302  71  3,1302,1.025362,8,0,1,2,2
    1302  86  1,1302,1.025362,8,0,1,1,2
    1302  88  2,1302,1.025362,8,0,1,2,2
    1401   1  4,1401,0.3336,7,1,5,3,1
    1401  76  2,1401,0.3336,7,1,5,0,1
    1401 107  2,1401,0.3336,7,1,5,2,1
    1401 182  1,1401,0.3336,7,1,5,3,1
    1401 190  2,1401,0.3336,7,0,4,2,1
    1401 227  7,1401,0.3336,7,1,5,2,1
    1402  11  4,1402,0.3336,7,0,3,1,1
    1402 121  2,1402,0.3336,7,1,5,3,1
    1402 128  4,1402,0.3336,7,1,4,2,1
    1402 244  2,1402,0.3336,7,1,4,2,1
    1403  32  4,1403,0.3336,7,1,4,2,1
    1403  59  2,1403,0.3336,7,0,2,0,1
    1403 102  2,1403,0.3336,7,0,2,0,1
    1403 173  2,1403,0.3336,7,1,4,1,1
    1403 225  1,1403,0.3336,7,0,3,0,1
    1403 252  2,1403,0.3336,7,0,1,0,1
    1404  44  2,1404,1.025362,8,0,3,0,2
    1404  46  1,1404,1.025362,8,0,4,2,2
    1404  49  6,1404,1.025362,8,0,4,2,2
    1404  51  4,1404,1.025362,8,0,1,2,2
    1404 106  6,1404,1.025362,8,1,4,2,2
    1404 113  3,1404,1.025362,8,1,2,2,2
    1404 238  3,1404,1.025362,8,0,4,2,2
    1405  93  2,1405,1.025362,8,1,4,3,2
    1405 101  2,1405,1.025362,8,0,2,0,2
    1405 165  2,1405,1.025362,8,0,2,0,2
    1405 223 11,1405,1.025362,8,1,3,1,2
    1405 226  4,1405,1.025362,8,1,4,2,2
    1405 229  2,1405,1.025362,8,0,1,0,2
    1406  25  1,1406,1.025362,8,0,1,1,2
    1406  26  2,1406,1.025362,8,0,1,0,2
    1406  57  2,1406,1.025362,8,0,2,2,2
    1406  87  2,1406,1.025362,8,0,3,2,2
    1406  88  9,1406,1.025362,8,0,1,2,2
    1406  90  2,1406,1.025362,8,0,1,0,2
    1406  92  2,1406,1.025362,8,0,1,1,2
    1406 108  2,1406,1.025362,8,0,3,0,2
    1406 112  2,1406,1.025362,8,0,1,0,2
    1406 114  2,1406,1.025362,8,0,1,1,2
    1407  33  2,1407,1.025362,8,0,3,1,2
    1407  36  2,1407,1.025362,8,0,2,1,2
    1407  40  1,1407,1.025362,8,0,2,0,2
    1407  77  2,1407,1.025362,8,0,1,0,2
    1407  83  1,1407,1.025362,8,1,2,1,2
    1407  85  2,1407,1.025362,8,1,2,0,2
    1407 108  7,1407,1.025362,8,0,3,3,2
    1407 110  4,1407,1.025362,8,1,5,2,2
    1407 113  2,1407,1.025362,8,0,3,0,2
    1407 142  1,1407,1.025362,8,0,2,1,2
    1407 145  2,1407,1.025362,8,1,4,2,2
    1501 240  6,1501,0.547337,11,1,5,3,1
    1501 334  3,1501,0.547337,11,1,5,3,1
    1502  23  2,1502,2.319956,12,0,1,0,2
    1502  30  2,1502,2.319956,12,1,2,0,2
    1502  65  3,1502,2.319956,12,1,4,2,2
    1502  66  4,1502,2.319956,12,1,3,2,2
    1502  72 11,1502,2.319956,12,0,2,0,2
    1502 107  1,1502,2.319956,12,0,1,0,2
    1502 108  2,1502,2.319956,12,1,2,0,2
    1502 110  1,1502,2.319956,12,0,1,0,2
    1502 112  1,1502,2.319956,12,0,2,0,2
    1502 137  3,1502,2.319956,12,0,2,0,2
    1502 138  3,1502,2.319956,12,0,2,0,2
    1502 141  2,1502,2.319956,12,0,3,0,2
    1502 144  2,1502,2.319956,12,0,2,0,2
    1601   7  1,1601,0.547337,11,1,3,0,1
    1601  91  1,1601,0.547337,11,1,5,2,1
    1601  99  3,1601,0.547337,11,1,4,2,1
    1601 145  4,1601,0.547337,11,1,4,2,1
    1601 145 10,1601,0.547337,11,0,4,0,1
    1601 160  1,1601,0.547337,11,1,3,2,1
    1601 175  2,1601,0.547337,11,0,2,0,1
    1601 198  3,1601,0.547337,11,0,5,2,1
    1601 229  4,1601,0.547337,11,1,2,0,1
    1601 244  2,1601,0.547337,11,0,4,2,1
    1602   2  2,1602,2.319956,12,0,3,0,2
    1602   6  2,1602,2.319956,12,1,3,0,2
    1602  10  1,1602,2.319956,12,0,2,0,2
    1602  54  1,1602,2.319956,12,0,4,0,2
    1602  56  2,1602,2.319956,12,1,4,0,2
    1602  60  8,1602,2.319956,12,0,4,2,2
    1602  61  1,1602,2.319956,12,1,2,0,2
    1602 153  3,1602,2.319956,12,0,3,0,2
    1701  24 12,1701,0.670346,5,0,5,0,1
    1701  33  7,1701,0.670346,5,1,4,0,1
    1701  41  2,1701,0.670346,5,0,3,0,1
    1701  66  3,1701,0.670346,5,1,4,0,1
    1701  74  2,1701,0.670346,5,1,4,0,1
    1701 214  2,1701,0.670346,5,1,3,0,1
    1702   8  3,1702,2.512923,6,0,3,0,2
    1702  85  1,1702,2.512923,6,1,4,2,2
    1702  94  2,1702,2.512923,6,1,3,0,2
    1702 162  2,1702,2.512923,6,0,3,0,2
    1702 165  2,1702,2.512923,6,0,3,1,2
    1703  34  6,1703,2.512923,6,0,1,0,2
    1703  35  3,1703,2.512923,6,1,3,1,2
    1703  37  3,1703,2.512923,6,0,3,0,2
    1703  39  3,1703,2.512923,6,0,1,0,2
    1703  95 10,1703,2.512923,6,1,2,0,2
    1703  99  2,1703,2.512923,6,0,2,0,2
    1703 154  4,1703,2.512923,6,1,1,0,2
    1703 161  2,1703,2.512923,6,1,3,1,2
    1703 222  2,1703,2.512923,6,0,1,0,2
    1703 223  2,1703,2.512923,6,0,1,0,2
    1704   1  8,1704,2.512923,6,0,4,0,2
    1704   5  2,1704,2.512923,6,0,4,0,2
    1704  75  4,1704,2.512923,6,1,1,0,2
    1704  76  2,1704,2.512923,6,1,4,0,2
    1704  77  2,1704,2.512923,6,0,3,0,2
    1704  80  2,1704,2.512923,6,0,2,0,2
    1704  83  3,1704,2.512923,6,0,4,0,2
    1704 141  2,1704,2.512923,6,0,3,0,2
    1704 212  2,1704,2.512923,6,0,3,0,2
    1801   9  2,1801,0.670346,5,1,2,0,1
    1801  64  4,1801,0.670346,5,1,2,0,1
    1801  82  2,1801,0.670346,5,1,4,0,1
    1801 145  2,1801,0.670346,5,1,5,2,1
    1801 318  4,1801,0.670346,5,1,5,3,1
    1802   3  2,1802,2.512923,6,0,4,1,2
    1802   4  7,1802,2.512923,6,1,3,0,2
    1802   7  2,1802,2.512923,6,1,3,0,2
    1802   7  3,1802,2.512923,6,0,3,0,2
    1802  10  2,1802,2.512923,6,0,2,0,2
    1802  73  4,1802,2.512923,6,1,3,0,2
    1802  74  1,1802,2.512923,6,1,2,0,2
    1802  74  5,1802,2.512923,6,1,2,0,2
    1802  77  4,1802,2.512923,6,0,4,2,2
    1802  80  4,1802,2.512923,6,1,3,0,2
    1802 151  1,1802,2.512923,6,0,3,1,2
    1802 154  3,1802,2.512923,6,0,4,0,2
    1802 155  2,1802,2.512923,6,1,3,0,2
    1802 155 10,1802,2.512923,6,0,3,0,2
    1802 155 16,1802,2.512923,6,0,3,1,2
    1802 223  2,1802,2.512923,6,0,1,0,2
    1802 224  3,1802,2.512923,6,1,3,0,2
    1802 226  2,1802,2.512923,6,1,2,0,2
    1803  22  2,1803,2.512923,6,0,1,0,2
    1803  25  2,1803,2.512923,6,0,4,0,2
    1803  29  4,1803,2.512923,6,0,5,2,2
    1803  31  2,1803,2.512923,6,0,4,0,2
    1803  53  1,1803,2.512923,6,0,1,0,2
    1803  54  2,1803,2.512923,6,0,3,0,2
    1803  57  6,1803,2.512923,6,0,2,2,2
    1803  60  2,1803,2.512923,6,0,2,0,2
    1803  97  2,1803,2.512923,6,0,2,0,2
    1803  99  3,1803,2.512923,6,0,3,0,2
    1803 103  2,1803,2.512923,6,0,2,0,2
    1803 129  2,1803,2.512923,6,1,2,0,2
    1803 132  6,1803,2.512923,6,0,2,0,2
    1901  74  4,1901,2.512923,6,0,3,0,2
    1901  75  2,1901,2.512923,6,0,2,0,2
    1901  82  2,1901,2.512923,6,0,3,1,2
    1901  83  4,1901,2.512923,6,0,3,0,2
    1901  84  4,1901,2.512923,6,1,3,0,2
    1901 151  3,1901,2.512923,6,0,3,1,2
    1901 153  4,1901,2.512923,6,0,3,0,2
    1902  22  1,1902,2.512923,6,0,3,0,2
    1902  28  1,1902,2.512923,6,0,2,0,2
    1902  63  1,1902,2.512923,6,1,3,2,2
    1902  64  1,1902,2.512923,6,0,3,0,2
    1902  67  1,1902,2.512923,6,0,3,1,2
    1902 102  2,1902,2.512923,6,0,4,1,2
    1902 104  4,1902,2.512923,6,0,4,2,2
    1902 110  2,1902,2.512923,6,0,3,1,2
    1902 134  3,1902,2.512923,6,1,3,2,2
    1902 135  4,1902,2.512923,6,1,5,3,2
    1902 137  2,1902,2.512923,6,0,4,3,2
    1903   2  4,1903,2.512923,6,0,2,0,2
    1903   3  4,1903,2.512923,6,0,4,2,2
    1903   3  8,1903,2.512923,6,0,4,2,2
    1903   8  1,1903,2.512923,6,0,2,0,2
    1903   9  1,1903,2.512923,6,0,3,0,2
    1903  55  2,1903,2.512923,6,0,4,0,2
    1903  62  2,1903,2.512923,6,0,4,2,2
    1903  99  1,1903,2.512923,6,0,3,0,2
    1903 150  2,1903,2.512923,6,1,3,1,2
    2001 194  2,2001,1.146469,1,1,5,1,1
    2002  11  2,2002,1.593954,2,0,1,0,2
    2002  14  4,2002,1.593954,2,0,1,0,2
    2002  17  9,2002,1.593954,2,0,2,0,2
    2002  72  2,2002,1.593954,2,0,2,0,2
    2002 182  2,2002,1.593954,2,0,1,0,2
